Amount,Years,ROI,Risk,MonthlyIncome,Savings,MonthlyInvestment,Stocks,Bonds,MutualFunds,RealEstate,Commodities,ESG,EmergencyFund
171958,5,0.08253996981592678,0.09650715074415228,4824,26907,1814,40911.89582715356,24245.263365935003,26586.67783507857,24179.41021956164,26091.157774479077,24154.794977792168,5788.8
196867,1,0.12464914051180241,0.09148155777604575,7469,28777,1224,46263.188700942344,27416.553829261524,30064.22627814403,27342.08706414037,29503.891988932195,27314.252138579563,8962.800000000001
181932,19,0.11496328990472146,0.02762120213103668,6136,37693,2552,42979.92985626219,25470.824505836423,27930.593910642066,25401.64258320201,27410.026065609527,25375.78307844778,7363.200000000001
153694,10,0.1349223410494178,0.016242517078764892,5193,36329,577,36306.16472379989,21515.808733344405,23593.6342089117,21457.369124730012,23153.898220628995,21435.524988585006,6231.6
169879,12,0.11576128923003433,0.019070020123968398,3223,26282,631,40873.04448068547,24222.239228133625,26561.430209391165,24156.448618177947,26066.380711721282,24131.856751890522,3867.6000000000004
160268,24,0.10683086033354716,0.011639964308639476,8358,33624,1100,36989.63327763645,21920.846797581555,24037.78762404626,21861.30705528214,23589.773545189466,21839.05170026413,10029.6
104886,15,0.05936747678280925,0.018499866468033557,9320,33321,2272,23070.018167000522,13671.785553007667,14992.097732326642,13634.6512855172,14712.676391197878,13620.770870950102,11184.0
187337,27,0.08677158030594335,0.07147060960747212,8898,20488,1565,43494.6486454015,25775.85785493375,28265.084951593188,25705.84742384044,27738.282893248623,25679.678230982503,10677.6
137498,22,0.07652023676817254,0.01640697836142061,7948,32574,2636,31504.65040934722,18670.328787828243,20473.36046901464,18619.617856132154,20091.779856227582,18600.662621450167,9537.6
162727,24,0.07439896433790835,0.03870780672643852,7158,15240,2949,37949.59145177505,22489.738516767666,24661.61837534657,22428.653593907053,24201.977396220183,22405.820665983483,8589.6
176324,9,0.14730105547524455,0.08603877798725092,8336,20478,2843,40949.22069486308,24267.38287981769,26610.933475472804,24201.469654097553,26114.961340474525,24176.831955274356,10003.2
66023,20,0.08930977246667604,0.012094474216224328,6925,29262,2363,14209.30138601205,8420.73551920697,9233.943100742432,8397.86375574752,9061.841716987932,8389.314521303102,8310.0
91090,17,0.13920465551771133,0.08330216343300423,9970,14432,1818,19481.31584685581,11545.04390159532,12659.97230761433,11513.686128554715,12424.016906041743,11501.96490933809,11964.0
117221,17,0.11311386259972629,0.035366929729606,9938,39721,1115,25924.38572177314,15363.344736698931,16847.014231973986,15321.615984387181,16533.021127422435,15306.018197744332,11925.6
114820,26,0.12948113035416484,0.020634834485949063,7784,23568,2969,25969.63843077716,15390.16245867544,16876.42179598758,15348.36086610025,16561.880595957817,15332.73585250176,9340.800000000001
50769,20,0.1002637093105192,0.07270634488277355,8580,24178,2388,9964.705612185568,5905.2973969272725,6475.583995223753,5889.257875805613,6354.892655236299,5883.262464621496,10296.0
109735,12,0.1076903884626359,0.06660485621018956,7000,32195,1546,24949.31048379968,14785.494322576165,16213.359626318757,14745.33508375366,15911.176518132344,14730.3239654194,8400.0
114925,7,0.09925176938188639,0.08897248121743477,4633,10302,1074,26926.445164898065,15957.186567190716,17498.20457765038,15913.844866716854,17172.07464722111,15897.644176322878,5559.6
55311,2,0.06952429877980446,0.07615639394234973,5152,27022,2690,12095.76844164801,7168.210750245378,7860.459463537412,7148.740999612178,7713.956941715268,7141.463403241757,6182.400000000001
153355,3,0.12224521152615053,0.08231328373463638,3510,10055,1492,36719.93894987256,21761.02017814158,23862.52622241139,21701.91454478978,23417.77864946773,21679.821455316975,4212.0
135305,17,0.07807723624408558,0.035383111531417585,3384,18717,2692,32313.14249763559,19149.45846914739,20998.76067961222,19097.446161732692,20607.387705936402,19078.004485935726,4060.8
180608,5,0.05243159664314539,0.025969558940175053,3404,38699,1748,43461.11535396327,25755.98531013941,28243.293274669082,25686.028855345776,27716.89736759836,25659.879838284127,4084.8
134478,17,0.11454722959071678,0.07755532764767725,9966,18150,1002,30164.89447182668,17876.360801389892,19602.717376869023,17827.806385349562,19237.36373010069,17809.657234464168,11959.2
172537,24,0.06771106794070489,0.08261512653405377,7613,12125,2497,40230.44616457833,23841.421739783855,26143.836400493034,23776.66547742108,25656.56997789461,23752.460239829095,9135.6
199503,17,0.14404585843529144,0.0991454627800606,7571,26748,1320,46882.05273441625,27783.30587474657,30466.396315709673,27707.842965522155,29898.566418260434,27679.635691344924,9085.2
180523,27,0.14539285770025873,0.04713559092202839,5000,49577,2651,42968.6536099489,25464.141961404846,27923.26601928286,25394.97818939103,27402.83475081671,25369.12546915567,6000.0
52747,17,0.14148643902204483,0.04348162772135049,5756,14621,2470,11286.045322102735,6688.351533507938,7334.259264800184,6670.185140102147,7197.564013972301,6663.394725514701,6907.200000000001
173855,2,0.08701587002554444,0.07987716646677973,4668,25034,697,41425.03889628402,24549.362909696913,26920.144891210937,24482.683791195916,26418.409702234458,24457.75980937777,5601.6
115725,2,0.051545661652886744,0.04067231862277161,8989,15126,2169,25836.44084877947,15311.226726415967,16789.86307927728,15269.639533092793,16476.93515266271,15254.094659771787,10786.800000000001
179981,28,0.14283185625877254,0.09376815930432084,9914,15122,2938,41383.380798550184,24524.675431141826,26893.07329256513,24458.063366898576,26391.8426615588,24433.164449285516,11896.800000000001
134654,22,0.09281841483173142,0.08725714766587106,4460,28030,1702,31834.960716201374,18866.077731265046,20688.013286645957,18814.835121128097,20302.4319943509,18795.681150408636,5352.0
169346,23,0.14666548190436696,0.04860946246375166,6636,27302,1971,39733.45422553853,23546.893700709967,25820.865188752894,23482.93741307939,25339.61827394729,23459.031197971934,7963.200000000001
117435,5,0.14636199770892527,0.07757839610123476,5724,29181,2146,27222.08963155763,16132.391793248342,17690.329729269106,16088.574213621392,17360.618987902744,16072.195644400794,6868.799999999999
106886,1,0.135300945546736,0.07790885866762141,7809,48638,2192,24008.85184477054,14228.158444415842,15602.20068715053,14189.512999055161,15311.408303162572,14175.067721445363,9370.800000000001
116803,1,0.07944488920695857,0.019281148195233938,7178,11531,1812,26636.90661327278,15785.599836807833,17310.047367204326,15742.724187203416,16987.42429358886,15726.697701922785,8613.6
81551,19,0.08850977286019253,0.091229761601161,8264,33333,2535,17636.787852751793,10451.937212239458,11461.302078685972,10423.54845272242,11247.687382791692,10412.937020808668,9916.800000000001
166216,2,0.13511366715168568,0.05547271352030715,9600,49650,977,38087.122263797064,22571.242213699537,24750.993050308447,22509.93591667594,24289.686314195504,22487.020241323524,11520.0
61394,21,0.08169220051562777,0.08438117194969676,8997,44674,1754,12457.445424928235,7382.548256140324,8095.495978967049,7362.496338222077,7944.612868148745,7355.0011335935715,10796.400000000001
119092,12,0.06694927466860925,0.038804464092755064,5048,45854,1422,27829.775901218796,16492.519657135275,18085.235874526716,16447.723925504954,17748.164908680897,16430.979732933363,6057.6
53890,26,0.105680126245835,0.09059709056465805,7146,18152,919,11156.787040127161,6611.750314587008,7250.260510136766,6593.791979605076,7115.130820386477,6587.079335157518,8575.2
91606,6,0.1436154774160781,0.045028151086074684,7780,48518,2704,20255.388301200965,12003.775772618948,13163.004849827248,11971.172026845745,12917.673973915706,11958.985075591396,9336.0
137313,23,0.11960297966749729,0.010975388633226852,3716,20267,1620,32709.436079860126,19384.31051100478,21256.29286152886,19331.660316277612,20860.120026690194,19311.980204638432,4459.200000000001
191699,4,0.1070061170089365,0.09148437787773374,8565,35289,1450,44666.984331982254,26470.60902448404,29026.92965674619,26398.711562931592,28485.928406731022,26371.83701712491,10278.0
58792,23,0.059717649377076854,0.01821580091075202,7544,11062,2836,12246.101978741886,7257.301615527512,7958.154015151664,7237.589883039818,7809.8306712457525,7230.221836293369,9052.800000000001
118148,11,0.11150072266991698,0.03873822738313734,7976,39926,1777,26732.286915058186,15842.124241017298,17372.030448264533,15799.09506411116,17048.25213967486,15783.011191873973,9571.2
174243,24,0.14900538501042632,0.09550557703457245,7583,16229,2743,40659.33745448585,24095.591879517684,26422.55226834765,24030.145259489458,25930.09116499272,24005.681973166644,9099.6
170174,27,0.0640084015236524,0.09555464322438005,4823,14632,2357,40472.95932218964,23985.140217187887,26301.434064004396,23919.993597591776,25811.2303506223,23895.642448404004,5787.6
174358,17,0.10183296523637367,0.06160940993109576,5081,49056,1016,41426.860822544244,24550.442622115985,26921.32887365762,24483.760570981965,26419.571617725,24458.835492975184,6097.200000000001
98555,6,0.13773730719279553,0.06686534909528194,6419,13596,2158,22368.379591811965,13255.97954599649,14536.13649225082,13219.974659260908,14265.213314853341,13206.51639582648,7702.800000000001
67159,24,0.12407686177542045,0.05036009697804879,9238,16168,2365,13805.621616246046,8181.5062648398125,8971.610989987883,8159.284277745621,8804.398928029232,8150.97792315141,11085.6
160510,5,0.1197015740995268,0.03638896945282581,4574,17561,1641,38167.18853674651,22618.691197305416,24803.024278911387,22557.256022949554,24340.74778953667,22534.29217455049,5488.8
156530,20,0.12024840839871093,0.03957980908329244,9297,18258,2432,35791.88910591308,21211.038016997667,23259.431163690853,21153.426203499,22825.924021082195,21131.891488817226,11156.400000000001
130077,2,0.08594911512197552,0.07052666104693346,3249,26616,1314,31065.86162813414,18410.293183331327,20188.21269651723,18360.28854063143,19811.946641734907,18341.59730965098,3898.8
85920,6,0.07935918442644933,0.0777137076493912,3673,36734,2775,20068.862445153925,11893.236566038953,13041.790646907239,11860.933058478924,12798.71895018119,11848.85833323977,4407.6
69457,22,0.13093611554785134,0.08124211393532638,7533,16371,2400,14875.141572249657,8815.32663625414,9666.640685717184,8791.38311431567,9486.474724099366,8782.433267363991,9039.6
128953,11,0.13101133946791807,0.08106563285150985,5165,36069,2763,30223.048388403116,17910.82405455013,19640.508816586163,17862.17603203415,19274.450816433968,17843.991891992486,6198.0
102995,16,0.13670723185801037,0.018208549274382133,3770,24369,2562,24244.175779841502,14367.616434977033,15755.126419926326,14328.592204394401,15461.48382017082,14314.005340689926,4524.0
59692,16,0.14132405525564712,0.05449782742323234,6962,22910,2594,12639.638050950949,7490.519498047922,8213.894223635485,7470.174316827472,8060.8044172030495,7462.569493335126,8354.400000000001
87065,1,0.10113423988609377,0.015180288401497986,7363,17943,2871,19260.567321866667,11414.223610386734,12516.518434412004,11383.221161503907,12283.236712957836,11371.63275887285,8835.6
149299,9,0.10015162946871996,0.059457599409136204,4984,22199,629,35285.83677682242,20911.140597245132,22930.572039242878,20854.34334238342,22503.194142803524,20833.113101502648,5980.8
61534,28,0.12982951789667752,0.04973774512360394,4077,25728,594,13945.516008281324,8264.410669774807,9062.52164217789,8241.963504020736,8893.615195830118,8233.572979915127,4892.400000000001
90397,27,0.11499639307777651,0.08989337644824698,3235,33275,2455,21300.53383831775,12623.151342751044,13842.194780391446,12588.865296007774,13584.205224909654,12576.049517622336,3882.0
141387,6,0.12019668772577033,0.041582351129687084,3388,16738,1293,33809.38712853456,20036.16499795935,21971.098264070344,19981.7442854904,21561.602951764533,19961.40237218082,4065.6000000000004
51016,16,0.1295792669436101,0.02053603147848453,6037,25913,2334,10776.841552994387,6386.58650308457,7003.352170714699,6369.239740978257,6872.824335926202,6362.755696301888,7244.400000000001
105591,29,0.13900053418175662,0.022869251384755228,7858,45240,2616,23675.537821649523,14030.629434558401,15385.595898458463,13992.520502520048,15098.840574635926,13978.275768177638,9429.6
73247,3,0.08379951568515358,0.0785359568545725,4848,29123,2183,16601.539806940564,9838.427106870451,10788.544052764571,9811.704716992737,10587.468159192313,9801.716157239362,5817.6
74300,20,0.0875582952639944,0.0656396256984635,9544,44529,510,15473.373521857751,9169.851668128571,10055.40292206227,9144.945212174303,9867.991245575242,9135.635430201866,11452.800000000001
132798,28,0.059398193984086904,0.019101040851051125,7719,20167,2365,30415.13850573139,18024.660761220814,19765.338965897397,17975.70354407189,19396.954392882843,17957.403830195675,9262.800000000001
59268,27,0.1078280140996174,0.01756961255034977,5814,20554,1211,12874.420332268868,7629.656493025062,8366.467961629834,7608.933398446532,8210.534499876272,7601.187314753431,6976.799999999999
136807,4,0.05359422737967421,0.0730872218313208,6374,27260,2570,31799.556257252636,18845.09629263489,20665.005627749575,18793.910670690995,20279.853150088726,18774.77800158318,7648.800000000001
62185,19,0.09655980181324601,0.016548670572777417,6278,13812,1314,13455.516326780777,7974.026391876835,8744.094363070972,7952.367945884984,8581.122735116773,7944.272237269668,7533.6
189643,26,0.10426446347075766,0.08396740533613206,4252,38024,845,45435.04935379369,26925.780762666396,29526.058256837612,26852.646998144282,28975.75429379833,26825.31033475971,5102.400000000001
88044,3,0.07865412521282844,0.07356180044408465,9996,37285,2849,18723.68997010298,11096.058623760106,12167.627606947155,11065.92035049455,11940.848480704033,11054.654967991186,11995.2
101214,19,0.10908332605690108,0.01732139025777098,6981,36900,862,22857.000518304776,13545.546744225974,14853.667784641331,13508.755357018028,14576.82648816844,13495.003107641463,8377.2
164752,20,0.053050024993904946,0.017635394267667272,7673,11605,2943,38296.00364746959,22695.02978347576,24886.735037844526,22633.387264039204,24422.898355030193,22610.345912140732,9207.6
98984,7,0.053734818874921444,0.0987975620651058,5122,15622,2765,22857.19748330588,13545.663469892901,14853.795782743675,13508.871765643547,14576.952100653905,13495.119397760103,6146.400000000001
90774,20,0.1322600560659658,0.04368437161805083,7530,16767,2688,20124.406575465717,11926.153204112405,13077.88611176832,11893.76029087538,12834.14167108207,11881.652146696115,9036.0
52568,9,0.08601906414112628,0.04335779323602019,5150,37139,1484,11421.015589110373,6768.337796769755,7421.969964431583,6749.954150739279,7283.639969636584,6743.08252931243,6180.0
170151,1,0.06270605126518848,0.08315196105317524,7859,21613,2139,39570.31796337279,23450.215667077573,25714.850760486268,23386.521968992995,25235.57973286164,23362.713907208756,9430.800000000001
183767,8,0.10222432600548043,0.09525237196454729,9881,20589,1327,42325.26743383733,25082.85757038737,27505.16021797535,25014.729414132085,26992.521567048185,24989.263796619685,11857.2
174375,7,0.12699935530986106,0.09874009574405838,9949,23918,855,39992.807890744385,23700.592222636275,25989.406690014694,23636.21847073199,25505.018514182164,23612.15621169052,11938.800000000001
186330,18,0.07158210274968432,0.07780403667330475,4329,30119,1847,44596.61858533727,26428.90877997433,28981.20233468371,26357.124581464806,28441.05334629897,26330.292372240947,5194.8
89504,8,0.11228904758190003,0.043863362697782425,9241,37446,2363,19306.2139608729,11441.2747836971,12546.181994630288,11410.198860468017,12312.347406464147,11398.58299386756,11089.2
63986,1,0.0585347464993768,0.01751506450288019,9941,23046,626,12816.709586944919,7595.455872615414,8328.96451764297,7574.825671169365,8173.730041635288,7567.114309992053,11929.2
111858,11,0.05516817211686077,0.07994322243346931,4358,34818,1103,26252.578654865403,15557.838879216266,17060.2910700051,15515.581856658791,16742.322931327013,15499.786607927426,5229.6
179312,28,0.1031354631568148,0.06025638247622246,5482,45358,2428,42528.092143725866,25203.055825905583,27636.96626386435,25134.60119626063,27121.871023954856,25109.01354628873,6578.400000000001
62666,25,0.10406351216101065,0.048179980832227874,7542,14324,1513,13200.495891599252,7822.89583462293,8578.368820060748,7801.64787799381,8418.48596956211,7793.705606161152,9050.400000000001
88660,25,0.11374299014982066,0.09157189465852625,5017,20787,550,20346.38613171177,12057.703030739283,13222.139973110294,12024.952811835685,12975.706942200126,12012.711110402854,6020.400000000001
184633,18,0.12260913337226616,0.020007773407553622,4331,19111,1930,44178.21568173861,26180.954282004364,28709.30236577892,26109.84355870533,28174.221024051825,26083.26308772095,5197.200000000001
76854,23,0.14758520794625346,0.05433625938617733,7344,48110,2292,16752.1687915361,9927.693060652977,10886.43060153234,9900.728213358656,10683.530307450994,9890.649025468934,8812.800000000001
114505,10,0.10163003483011954,0.011021828029067716,7261,26389,2136,26046.602504959188,15435.77301302722,16926.437054478596,15393.847536521936,16610.963674652918,15378.176216360152,8713.2
154488,3,0.0822956472941246,0.05217945777947137,4358,24043,2145,36748.35115128205,21777.85785559582,23880.98994867455,21718.706489020944,23435.898250495928,21696.596304930725,5229.6
72662,7,0.12951861947687038,0.015067294811365362,8115,38746,2967,15492.282161963894,9181.057332153576,10067.690739887319,9156.12044022416,9880.050044179796,9146.79928159126,9738.0
58392,28,0.07708322512620742,0.020693612464126473,7637,32350,1705,12120.142860534832,7182.65555152761,7876.299228702514,7163.146567020197,7729.501486791452,7155.854305423398,9164.400000000001
80535,16,0.0938971420705636,0.020577362209939443,7854,10117,2354,17507.7757770276,10375.481900402187,11377.463321650486,10347.300803007247,11165.411204812697,10336.766993099784,9424.800000000001
163569,26,0.0578456381342266,0.06842892719044573,6177,28935,1066,38446.731114565686,22784.354100091747,24984.68558566347,22722.468964717886,24519.023309531607,22699.336925429627,7412.400000000001
102256,16,0.05253507434154575,0.07714403913388809,5128,23234,2918,23661.011652817982,14022.020916622525,15376.156038410574,13983.935366387997,15089.576653832948,13969.699371927974,6153.6
139135,25,0.1462648414677925,0.06250318885874437,5180,48328,1435,32725.488727450236,19393.82365285934,21266.724706869914,19341.14761925744,20870.357444255522,19321.457849307557,6216.0
177478,20,0.13359801205122057,0.09659552936270878,7892,10846,2434,41364.52139969431,24513.49894853355,26880.817474265667,24446.917241005096,26379.81526607561,24422.02967042578,9470.400000000001
85222,28,0.1195974206093698,0.04373835215713337,3137,20954,1832,20055.370342578193,11885.240857854447,13033.022776896658,11852.95906763085,12790.1144949269,11840.892460112966,3764.4000000000005
127373,17,0.090895294441427,0.03571408776536747,9327,23703,701,28604.39000931699,16951.572523742958,18588.620411521086,16905.529947516163,18242.167410889888,16888.31969701293,11192.400000000001
173684,2,0.06732943200708458,0.08817392153705143,6472,32700,2860,40849.95033430584,24208.55314368642,26546.4224318913,24142.799706835805,26051.652647800616,24118.22173548004,7766.400000000001
